method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
greedy,12,0.5,0.5,0.1,-2.2135308314104204e-09,1.8414812591280068e-10,0.1052631578947368,0.0,3,5.3352248476826966e-11
greedy,12,0.5,0.5,0.05,-1.1067652676754735e-09,9.207385132551592e-11,0.1052631578947368,0.0,3,8.409573635482186e-11
greedy,9,0.5,1.0,0.1,-2.2972373556460662e-09,1.4363070295055155e-10,0.1029411764705882,0.0311958874052888,3,5.102706724832611e-11
greedy,9,0.5,0.5,0.1,-1.8443761780736322e-09,1.6963003700414418e-10,0.1029411764705882,0.0311958874052888,3,6.360654440167098e-11
greedy,9,0.5,1.0,0.05,-1.1486185482970134e-09,7.181510256271958e-11,0.1029411764705882,0.0311958874052888,3,8.293314522657929e-11
greedy,9,0.5,0.5,0.05,-9.221879595107967e-10,8.481488818101237e-11,0.1029411764705882,0.0311958874052888,3,8.92228838032517e-11
greedy,9,1.0,1.0,0.1,8.999999997320906,2.2305914546090227e-10,0.1029411764705882,0.0311958874052888,3,0.25000000001170314
greedy,9,1.0,1.0,0.05,8.999999998660451,1.1152904603716512e-10,0.1029411764705882,0.0311958874052888,3,0.2500000000489127
greedy,6,0.5,2.0,0.1,-2.608070972905476e-09,7.444553828635467e-11,0.1025641025641025,0.0725237724293895,3,4.2392800103223186e-11
greedy,6,0.5,1.0,0.1,-1.742428804423561e-09,1.1356114512356035e-10,0.1025641025641025,0.0725237724293895,3,6.643841589162544e-11
greedy,6,0.5,0.5,0.1,-1.384692957219694e-09,1.645982448765998e-10,0.1025641025641025,0.0725237724293895,3,7.637552275725809e-11
greedy,6,0.5,2.0,0.05,-1.3040353014155675e-09,3.7223011842447376e-11,0.1025641025641025,0.0725237724293895,3,7.861601319600423e-11
greedy,6,0.5,1.0,0.05,-8.71214272685761e-10,5.6780499203192646e-11,0.1025641025641025,0.0725237724293895,3,9.063881954822895e-11
greedy,6,0.5,0.5,0.05,-6.923463490838274e-10,8.229897836512177e-11,0.1025641025641025,0.0725237724293895,3,9.560737298104527e-11
greedy,6,1.0,2.0,0.1,5.999999997159169,7.727174561822277e-11,0.1025641025641025,0.0725237724293895,3,0.1666666666834494
greedy,6,1.0,1.0,0.1,5.999999997974942,1.9774883210259988e-10,0.1025641025641025,0.0725237724293895,3,0.16666666670610975
greedy,6,1.0,0.5,0.1,5.999999998275851,1.8865774677727828e-10,0.1025641025641025,0.0725237724293895,3,0.16666666671446834
greedy,6,1.0,2.0,0.05,5.999999998579585,3.8635461364560085e-11,0.1025641025641025,0.0725237724293895,3,0.1666666667229054
greedy,6,1.0,1.0,0.05,5.99999999898747,9.887399882763388e-11,0.1025641025641025,0.0725237724293895,3,0.16666666673423555
greedy,6,1.0,0.5,0.05,5.999999999137927,9.432845951340515e-11,0.1025641025641025,0.0725237724293895,3,0.1666666667384149
greedy,6,2.0,2.0,0.1,17.99999999651515,2.4310407975271187e-10,0.1025641025641025,0.0725237724293895,3,0.49999999996060424
greedy,6,2.0,1.0,0.1,17.999999997179476,2.6501581659841445e-10,0.1025641025641025,0.0725237724293895,3,0.49999999997905775
greedy,6,2.0,0.5,0.1,17.999999997403915,2.0408044579988078e-10,0.1025641025641025,0.0725237724293895,3,0.49999999998529215
greedy,6,2.0,2.0,0.05,17.999999998257575,1.2154972427001515e-10,0.1025641025641025,0.0725237724293895,3,0.5000000000090049
greedy,6,2.0,1.0,0.05,17.99999999858974,1.3250784339221631e-10,0.1025641025641025,0.0725237724293895,3,0.5000000000182317
greedy,6,2.0,0.5,0.05,17.999999998701956,1.0203966991877254e-10,0.1025641025641025,0.0725237724293895,3,0.5000000000213488
greedy,9,1.0,2.0,0.1,8.999999996298882,1.2316726269187106e-10,0.0833333333333333,0.0589255650988789,3,0.2499999999833136
